"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"70","Lasgo","Blue",22.08,31.69,25.46,13.31,17.31,38.15,41.62,25.31,8.38,21.97,39.88,16.85,0.6,1.31,2.77,"1U9FOQOkDsnwlz3SXBCPcg",NA,NA,NA,NA,13,"gems-9"
"71","Alesso","Sweet Escape",24.83,32.5,16.5,11.33,12.17,51.25,46.83,19,2.75,19.47,49.04,10.88,0.83,1.58,3.08,"6vPJvkEuWZPcv58NnQ3dBR",NA,NA,NA,NA,12,"gems-9"
"72","Santigold","The Keepers",13.95,16,19.42,6.79,9.47,26.11,25.37,9.16,10.37,13.13,25.74,9.76,0.75,1.11,2.63,"1BaVwEV5FogbZuCzpSc7Jl",NA,NA,NA,NA,19,"gems-9"
"73","Knife Party","Centipede",7.92,8.08,8.92,0.38,0.23,25.08,25.69,46.46,1.54,5.11,25.38,24,0.84,1.31,1.77,"0u2AIKDVafHwCFQ9LDnqxH",NA,NA,NA,NA,13,"gems-9"
"74","Feed Me","One Click Headshot",7.67,6.22,17,5.89,9.67,28.11,20.33,21.56,0.78,9.29,24.22,11.17,0.43,1.22,2.11,"4z7t5KsfkxMC1PdOLgog4V",NA,NA,NA,NA,9,"gems-9"
"75","Imogen Heap","Loose Ends",5.14,5.57,12,18.71,4,32.14,21.43,21.43,8,9.09,26.79,14.71,0.67,1.14,2.14,"48Z9C1l1LfgpPxuQpfW2n6",NA,NA,NA,NA,7,"gems-9"
"76","Burial","Broken Home",6,11.92,11.31,0,9.46,2.62,8.08,35.77,3.23,7.74,5.35,19.5,0.7,1,1.38,"69P4h7GB5xQlIU6v1Qv7GN",NA,NA,NA,NA,13,"gems-9"
"77","Breathe Carolina","Edge of Heaven",8.07,10,12.79,4.07,4.93,19.86,29.29,30.5,4.07,7.97,24.57,17.29,0.78,1.14,2,"4ZAqYMCngGjxr4sFGlowiy",NA,NA,NA,NA,14,"gems-9"
"78","Sia","Don't Bring Me Down",16.12,18.12,19.12,16.47,16.29,8.18,11.24,11.59,38.82,17.22,9.71,25.21,0.79,1.59,2.76,"4XSBnZBRdrIQzbIvmysvuC",NA,NA,NA,NA,17,"gems-9"
"79","Halsey","Now or Never",10.69,14.77,7.92,20.69,18.54,17,16.15,14.23,9.92,14.52,16.58,12.08,-0.45,1.38,2.62,"7i2DJ88J7jQ8K7zqFX2fW8",NA,NA,NA,NA,13,"gems-9"
"80","Yonderboi","Before you snap",21.33,13.44,8.44,0.44,8.33,2.56,23.72,38.39,8.56,10.4,13.14,23.47,0.82,1,2.06,"1a9F0TEZ5fO4yWj0g9wojX",NA,NA,NA,NA,18,"gems-9"
"81","Crystal Castles","Pap Smear",17.18,19.09,6.91,5.73,9.36,13.36,19.73,27.73,6.18,11.65,16.55,16.95,0.44,1.18,2,"2RuNFmIS9tzrEMRBeVFt5c",NA,NA,NA,NA,11,"gems-9"
"82","Delerium","Silence (feat. Sarah McLachlan)",17.38,18.19,12.29,2.81,5.48,17.57,19.43,19.62,7.62,11.23,18.5,13.62,0.6,1.62,2.52,"3oVnbdWg48ZrmsUAQQUKbU",NA,NA,NA,NA,21,"gems-9"
"83","Bj�rk","Enjoy",24.75,17.81,17.62,14.06,7.38,14.81,35.44,46,8,16.32,25.12,27,0.79,1.25,2.38,"6JQVN9gi04NCK1tiz0aQA1",NA,NA,NA,NA,16,"gems-9"
"84","Goldfrapp","Some People",25.46,8.46,28.54,26.77,24.23,10.77,12.69,16.69,25,22.69,11.73,20.85,0.45,1.46,3,"0bB1VbAl9MctrLUOKf9WaS",NA,NA,NA,NA,13,"gems-9"
"85","Belinda","Bailar�a Sobre el Fuego",16.82,11.24,7.94,20.18,12.71,25.71,15.53,13.47,5.24,13.78,20.62,9.35,0.21,1,2.24,"6OdBw3nV7nmGC5lSxf67p2",NA,NA,NA,NA,17,"gems-9"
"86","The Cinematic Orchestra","Time and Space",18.29,16.86,9.29,22,34.57,2.93,6.93,21.71,31.86,20.2,4.93,26.79,0.75,1,1.93,"6qqNMdHr1hcyF4amMDP5Sf",NA,NA,NA,NA,14,"gems-9"
"87","Knife Party","Bonfire",21.56,26.06,12.72,1.33,5.28,31.17,48,20.39,1.17,13.39,39.58,10.78,0.87,2.33,2.72,"0QIYINh2AwmOmdu8CRYvlw",NA,NA,NA,NA,18,"gems-9"
"88","Jamie Woon","Shoulda",12.1,9.05,19.2,33.65,32.05,12.35,3.55,8.9,17.35,21.21,7.95,13.12,0.82,1.05,2.5,"6I39hUKfIBsPBLX42jE3Dk",NA,NA,NA,NA,21,"gems-9"
"89","Simon Curtis","D.T.M.",8.36,11.64,10.5,5,7.5,20.14,40.71,44.5,2.5,8.6,30.43,23.5,0.85,1.43,2.14,"6SmXooAqsXFWej4L1xlpsV",NA,NA,NA,NA,14,"gems-9"
"90","T�l�popmusik","Don't Look Back",22.14,22,20.79,18.71,25.71,10.86,6,14.36,9.86,21.87,8.43,12.11,0.23,1.14,2.43,"6T1DyqY15fNj7F5FK4r5VR",NA,NA,NA,NA,14,"gems-9"
