,Unnamed: 0,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,genre
156,157,Jessie Ware,Swan Song,15.0,11.08,11.46,19.92,34.38,9.0,6.31,11.15,18.69,708jomIP1WJkoinbSJxOGm,funk_soul
157,158,The Cinematic Orchestra,Ma Fleur,17.31,14.94,26.25,27.62,42.5,10.5,11.69,8.25,19.88,3AqPL1n1wKc5DVFFnYuJhp,electronic
158,159,Good Charlotte,March On,18.92,7.85,15.77,12.62,27.23,11.69,2.69,2.62,24.92,5aj1QFI3B492gzMXgioTqe,rock
159,160,Perlla,No Meu Comando,10.6,12.0,3.4,7.87,5.0,22.87,17.87,9.2,2.07,4A1xnjGKCJWxa6VnUHKdvl,funk_soul
160,161,of Montreal,Oslo In The Summertime,14.68,13.53,14.37,12.79,18.05,26.42,13.26,21.32,11.53,3aWcuInJ6nPVUey0wDQQUL,pop
161,162,BANKS,Beggin for Thread,14.2,20.28,12.96,12.88,12.72,15.88,20.68,10.6,7.64,4PvD06Pmbm2rHG2JjSlElF,electronic
162,163,The Whispers,Rock Steady,14.53,13.0,32.35,14.59,13.41,40.82,22.24,7.12,2.76,1YCsTFttuHAzgfEWKdOb9K,funk_soul
163,164,Beyoncé,Halo,33.47,31.73,54.93,39.13,25.8,34.87,58.87,18.4,16.6,4JehYebiI9JE8sR8MisGVb,pop
164,165,Passion Pit,Sleepyhead,9.22,12.72,14.78,4.67,10.39,34.33,18.11,19.89,1.94,4prEPl61C8qZpeo3IkYSMl,electronic
165,166,Edwin McCain,I Could Not Ask for More,24.43,10.13,26.37,26.3,22.83,15.3,23.9,7.8,10.7,14J3PO0VnhtcRa31r7Aj1L,rock
166,167,Ace of Base,All That She Wants,19.53,22.29,46.82,20.06,23.82,59.18,28.35,5.41,12.12,6kWJvPfC4DgUpRsXKNa9z9,pop
