"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"82","The Jacksons","Blame It on the Boogie",31.73,25.82,46.09,21.64,15,71.09,50.55,6.73,0,28.05,60.82,3.36,0.88,2.27,3.64,"3qI94hINNNeb4S7xQi18lS",NA,NA,NA,NA,11,"gems-9"
"83","Gnarls Barkley","St. Elsewhere",22.53,24.07,12.13,5.73,17,17.87,33.93,23.13,17.4,16.29,25.9,20.27,0.56,1.33,2.93,"2N5zMZX7YeL1tico8oQxa9",NA,NA,NA,NA,15,"gems-9"
"84","Chaka Khan","Tearin' It Up",23,18.36,27.21,15.07,13.43,43,32.86,13.64,6.93,19.41,37.93,10.29,0.78,1.5,2.93,"7Hag038sye6QGKPZoJpXwU",NA,NA,NA,NA,14,"gems-9"
"85","Mc Wm","Fuleragem",6,9.18,5.24,1.94,3.76,28.82,27.12,35.53,0,5.22,27.97,17.76,0.88,1.24,1.88,"6tuzPD1zPPvwMbGiD0TBay",NA,NA,NA,NA,18,"gems-9"
"86","Erykah Badu","Didn't Cha Know",11.5,10.5,24.2,25.9,37.9,21.1,3.7,1.7,8.8,22,12.4,5.25,0.72,2,3.5,"7pv80uUHfocFqfTytu1MVi",NA,NA,NA,NA,10,"gems-9"
"87","Chromeo","Bad Decision",13.53,7.33,12,4.93,7.87,61.27,48.2,17.27,0.2,9.13,54.73,8.73,0.96,1.67,3.33,"0PIQF15Jp7HwouZPLqPj8b",NA,NA,NA,NA,15,"gems-9"
"88","Chaka Khan","La Flamme",3.19,2.81,21.48,10.76,5.67,23.86,28.86,21.29,0.43,8.78,26.36,10.86,0.79,1.19,2.29,"2eov5RDWfwpixHgts4okh9",NA,NA,NA,NA,21,"gems-9"
"89","Grace Jones","Scary But Fun",6.26,7.47,13.68,6.11,9.79,14.68,21,20.68,20.32,8.66,17.84,20.5,0.7,1.05,1.95,"6ulf6TKwgoeKjNM7GPHmII",NA,NA,NA,NA,19,"gems-9"
"90","Taylor Dayne","You Meant The World To Me",17.71,3.79,26.79,20.21,18.79,44,23.43,3.5,2.14,17.46,33.71,2.82,0.82,1.57,2.93,"4GGKiv7YVIvwvGbbdcsmB1",NA,NA,NA,NA,13,"gems-9"
"91","Prince","Kiss",21.1,17.05,43.67,19.52,8.9,57.52,29.14,14.29,1,22.05,43.33,7.64,0.92,3.62,3.57,"62LJFaYihsdVrrkgUOJC05",NA,NA,NA,NA,22,"gems-9"
"92","Michael Kiwanuka","Rest",28.33,22.54,38.25,60.96,55.96,15.92,11.33,2.5,22.17,41.21,13.62,12.33,0.95,1.17,3.29,"46ueNei78zAk47R2OOLInn",NA,NA,NA,NA,24,"gems-9"
"93","Aretha Franklin","I Never Loved a Man (the Way I Love You)",21.09,12.91,34.23,26.14,25.05,23.32,30.64,18.36,23.68,23.88,26.98,21.02,0.47,1.68,3.27,"7s25THrKz86DM225dOYwnr",NA,NA,NA,NA,21,"gems-9"
